,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25,C4frac,g1,lpx,psi50X,gpmax,C,bexp,bc,R2_VOD,R2_ET,N_VOD,N_ET,obsfilter,lcfilter
5087,5087,5087,5087,188,290,75.0,15.0,10.0,2.0,0.6408789196613043,BSk,10,6.0,62.2,0.0,3.409322290505158,5.318002752864018,9.68144337499283,8.668386248364753,17.075504109693316,6.049595514562547,0.6733071604497941,0.2833338876327879,-2.765455445755788,727.0,67.0,1,1
5088,5088,5088,5088,188,291,20.0,40.0,40.0,9.0,0.7171740291447577,BSk,10,6.0,62.2,0.0,5.916640551036161,0.848238509161257,5.633004390232156,7.129361174963265,0.5625573932973459,2.4584318283280644,0.12857154245667965,0.3572748175837833,-1.0055928976792772,758.0,70.0,1,1
5089,5089,5089,5089,188,292,20.0,40.0,40.0,9.0,0.7324330510414825,BSk,10,6.0,62.2,0.0,6.14624281557711,0.8757830370787371,3.5001139359053774,7.732737794925745,0.441010604610791,2.5124858492840825,0.13402788147542308,0.36056044565547274,-1.3215678002171583,774.0,74.0,1,1
5090,5090,5090,5090,188,293,50.0,40.0,10.0,4.0,0.8850232700084462,BSk,10,6.0,62.2,0.0,4.742918376091382,6.510981683587692,10.22237691224949,6.010778182633639,0.0906891968761006,3.620107519326507,0.11756801682131818,0.334871647054222,-0.32315622344785,859.0,75.0,1,1
5096,5096,5096,5096,188,299,50.0,40.0,10.0,4.0,2.777141985198796,BSk,10,6.0,62.2,0.07,8.444470203749967,2.686272501245853,8.54445700646833,4.925312352162113,2.428788579381539,9.34861743176726,0.28576544623639627,0.23270092960597977,-1.8520786489354526,869.0,72.0,1,0
5097,5097,5097,5097,188,300,40.0,39.0,21.0,4.0,2.3193713282979047,BSk,10,6.0,62.2,0.02,6.625386630658218,3.215503381906579,7.8954283170369415,4.190543716792112,1.7383904368921304,9.377437273869255,0.2698627296580214,0.22289151110891325,-2.18864263864906,857.0,73.0,1,0
5098,5098,5098,5098,188,301,40.0,39.0,21.0,4.0,1.6632333867399325,BSk,10,6.0,62.2,0.02,0.4897033631275457,3.260154499403874,6.905924460807665,1.2565670605086243,1.3733117859538642,9.785676824850446,0.8780162531513394,0.2558602129365444,-0.8178858404005447,851.0,72.0,1,0
5100,5100,5100,5100,188,303,40.0,39.0,21.0,4.0,1.0986495765621953,BSk,10,6.0,62.2,0.02,0.5384852255613204,2.714399748525313,6.331935577272873,0.7186480511385043,0.8007185214369881,5.1406956667670585,0.7512661753728495,0.29659249274587063,-0.31159527022924105,815.0,77.0,1,0
5101,5101,5101,5101,188,304,75.0,15.0,10.0,2.0,1.2893873502708857,BSk,10,6.0,62.2,47.03,0.6794357969965095,0.09680464550635404,2.6169692293679656,0.6077794860467788,0.5775089391886702,6.658348580281459,0.6507139802733417,0.3286179818056897,-0.22421605923889687,873.0,81.0,1,1
5102,5102,5102,5102,188,305,75.0,15.0,10.0,2.0,1.1444266422522558,BSk,10,6.0,62.2,47.03,0.6300565196810461,0.18255592594415013,2.6318806543339908,0.2990274949562699,0.3214500742767952,4.622486461681256,0.6502500706459523,0.30918165770152883,-0.20051508518696415,908.0,80.0,1,1
