,index,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
588,10630,10630,133,814,43.0,16.0,41.0,10.0,0.3839678543272528,Dfb,5,5.0,55.0
589,10646,10646,133,830,34.0,22.0,44.0,10.0,0.3662165255207697,Dfb,5,5.0,55.0
590,10649,10649,133,833,41.0,37.0,22.0,4.0,0.4730296787976158,Dfb,5,5.0,55.0
591,10658,10658,133,846,37.0,44.0,19.0,4.0,0.6485084306096383,Dfb,5,5.0,55.0
592,10672,10672,133,872,19.0,32.0,49.0,10.0,0.7712926934717288,Dfb,5,5.0,55.0
593,10742,10742,133,1007,77.0,14.0,9.0,2.0,0.27608656951760885,Dfb,12,1.0,54.0
594,10761,10761,133,1046,42.0,38.0,20.0,4.0,0.3078592440002874,Dfc,5,5.0,55.0
595,10801,10801,134,244,86.0,8.0,6.0,1.0,0.6103608758679115,Dfc,12,1.0,54.0
596,10802,10802,134,245,86.0,8.0,6.0,1.0,0.4577706569009479,Dfc,12,1.0,54.0
597,10840,10840,134,299,37.0,46.0,17.0,4.0,0.1900935038953429,Dfc,1,4.0,71.1
598,10864,10864,134,346,37.0,46.0,17.0,4.0,0.2065902020125435,Dfc,7,3.0,54.0
599,10899,10899,134,814,47.0,29.0,24.0,4.0,0.4334579486788731,Dfb,12,1.0,54.0
600,10913,10913,134,828,34.0,22.0,44.0,10.0,0.6561379415579722,Dfb,5,5.0,55.0
601,10914,10914,134,829,34.0,22.0,44.0,10.0,0.4730296787976158,Dfb,5,5.0,55.0
602,10963,10963,134,909,34.0,48.0,18.0,4.0,1.213092240787404,Dfb,5,5.0,55.0
603,10974,10974,134,930,36.0,43.0,21.0,4.0,2.571145189593381,Dfb,12,1.0,54.0
604,10995,10995,134,968,39.0,40.0,21.0,4.0,0.6561379415579722,Dfb,5,5.0,55.0
605,14021,14021,143,978,89.0,5.0,6.0,0.0,0.6527979112094946,Dfb,12,1.0,54.0
606,14036,14036,143,993,89.0,5.0,6.0,0.0,1.1373566287734738,Dfb,12,1.0,54.0
607,14047,14047,143,1007,63.0,16.0,21.0,5.0,0.5981367038817719,Dfb,12,1.0,54.0
608,14052,14052,143,1012,42.0,34.0,24.0,4.0,0.6905724676382027,Dfb,12,1.0,54.0
609,14053,14053,143,1013,41.0,37.0,22.0,4.0,0.40034587116303993,Dfb,12,1.0,54.0
610,14082,14082,143,1042,83.0,11.0,6.0,1.0,0.8424505989166541,Dfb,12,1.0,54.0
611,14085,14085,143,1047,42.0,34.0,24.0,4.0,1.1291676203555878,Dfb,5,5.0,55.0
612,14090,14090,143,1052,39.0,40.0,21.0,4.0,0.5711960529997171,Dfb,12,1.0,54.0
613,14114,14114,143,1162,39.0,39.0,22.0,4.0,0.3896815103041276,Dwc,1,4.0,71.1
614,14195,14195,144,372,37.0,46.0,17.0,4.0,0.21572866068178712,Dfc,10,6.0,62.2
615,14232,14232,144,690,35.0,33.0,32.0,7.0,1.0833905546654703,Cfb,14,1.0,62.2
616,14233,14233,144,691,53.0,24.0,23.0,5.0,1.2664988174258272,Cfb,14,1.0,62.2
617,14260,14260,144,800,31.0,22.0,47.0,10.0,1.2207217517357662,Cfb,12,1.0,54.0
618,14284,14284,144,827,42.0,34.0,24.0,4.0,0.6561379415579722,Dfb,12,1.0,54.0
619,14303,14303,144,846,35.0,43.0,22.0,4.0,0.6561379415579722,Dfb,12,1.0,54.0
620,14320,14320,144,881,37.0,44.0,19.0,4.0,2.30411230640118,Dfb,12,1.0,54.0
621,14327,14327,144,892,37.0,44.0,19.0,4.0,3.5553521019302816,Dfb,12,1.0,54.0
622,14349,14349,144,927,42.0,34.0,24.0,4.0,2.8076600289921885,Dfb,12,1.0,54.0
623,14350,14350,144,928,14.0,39.0,47.0,10.0,3.0670634012359983,Dfb,12,1.0,54.0
624,14352,14352,144,930,48.0,28.0,24.0,4.0,2.655069810025225,Dfb,12,1.0,54.0
625,14356,14356,144,934,42.0,34.0,24.0,4.0,2.800030518043826,Dfb,12,1.0,54.0
626,14381,14381,144,970,89.0,5.0,6.0,0.0,0.3507201410612295,Dfb,12,1.0,54.0
627,14393,14393,144,982,89.0,6.0,5.0,0.0,0.8236989564524957,Dfb,12,1.0,54.0
628,14395,14395,144,984,71.0,20.0,9.0,2.0,0.3453625289286121,Dfb,12,1.0,54.0
629,14399,14399,144,988,89.0,6.0,5.0,0.0,0.8349058603121782,Dfb,12,1.0,54.0
630,14412,14412,144,1001,43.0,29.0,28.0,7.0,1.0973271279978059,Dfb,12,1.0,54.0
631,14464,14464,144,1068,47.0,34.0,19.0,4.0,0.757932572077733,Dfb,12,1.0,54.0
632,14465,14465,144,1069,37.0,44.0,19.0,4.0,0.6514076447700192,Dfb,12,1.0,54.0
633,14483,14483,144,1161,39.0,39.0,22.0,4.0,0.4845417630952569,Dwc,10,6.0,62.2
634,14484,14484,144,1162,90.0,5.0,5.0,0.0,0.3405135508592189,Dwc,1,4.0,71.1
