,Unnamed: 0,row,col,T_SAND,T_SILT,T_CLAY,Soil texture,Root depth,Climate type,IGBP,Root type,Vcmax25
11082,11082,224,384,86.0,8.0,6.0,1.0,2.2278171969177265,Cfa,4,5.0,55.0
11083,11083,224,385,86.0,8.0,6.0,1.0,3.570611123827007,Cfa,14,1.0,62.2
11084,11084,224,386,,,,4.0,3.616388189517068,Cfa,4,5.0,55.0
11085,11085,224,388,86.0,8.0,6.0,1.0,5.645838101777714,Cfa,5,5.0,55.0
11086,11086,224,389,86.0,8.0,6.0,1.0,5.157549401083429,Cfa,5,5.0,55.0
11087,11087,224,391,86.0,8.0,6.0,1.0,5.004959182116465,Cfa,5,5.0,55.0
11088,11088,224,392,86.0,8.0,6.0,1.0,3.990234225986143,Cfa,5,5.0,55.0
11089,11089,224,393,86.0,8.0,6.0,1.0,2.2125581750210017,Cfa,14,1.0,62.2
11090,11090,224,394,86.0,8.0,6.0,1.0,1.1902037079423735,Cfa,14,1.0,62.2
11091,11091,224,395,86.0,8.0,6.0,1.0,0.8239871824216607,Cfa,14,1.0,62.2
11092,11092,224,396,86.0,8.0,6.0,1.0,0.6561379415579722,Cfa,5,5.0,55.0
11093,11093,224,397,86.0,8.0,6.0,1.0,1.007095445182017,Cfa,5,5.0,55.0
11094,11094,224,398,86.0,10.0,4.0,1.0,0.8973322143384417,Cfa,14,1.0,62.2
11095,11095,224,399,86.0,8.0,6.0,1.0,0.7475225282504324,Cfa,14,1.0,62.2
11096,11096,224,400,86.0,8.0,6.0,1.0,0.4606529165925438,Cfa,14,1.0,62.2
11097,11097,224,401,86.0,8.0,6.0,1.0,0.8181378906945901,Cfa,14,1.0,62.2
11098,11098,224,402,86.0,8.0,6.0,1.0,0.5851495808008121,Cfa,5,5.0,55.0
11099,11099,224,403,86.0,8.0,6.0,1.0,0.2969236116409922,Cfa,14,1.0,62.2
11100,11100,224,404,86.0,8.0,6.0,1.0,0.4817882205141302,Cfa,14,1.0,62.2
11101,11101,225,250,37.0,46.0,17.0,4.0,5.477988860914023,Csa,7,3.0,54.0
11102,11102,225,251,37.0,46.0,17.0,4.0,5.477988860914023,Csa,7,3.0,54.0
11103,11103,225,252,86.0,8.0,6.0,1.0,6.210421911955451,Csa,7,3.0,54.0
11104,11104,225,253,86.0,8.0,6.0,1.0,5.035477225909858,Csa,7,3.0,54.0
11105,11105,225,254,26.0,63.0,11.0,3.0,2.8839551384756423,BWh,7,3.0,54.0
11106,11106,225,255,26.0,63.0,11.0,3.0,1.0376134889754098,BWh,16,-1.0,54.0
11107,11107,225,256,26.0,63.0,11.0,3.0,0.502072683807686,BWh,16,-1.0,54.0
11108,11108,225,257,26.0,63.0,11.0,3.0,1.4496070801861831,BWh,7,3.0,54.0
11109,11109,225,258,26.0,63.0,11.0,3.0,1.1902037079423735,BWh,7,3.0,54.0
11110,11110,225,259,26.0,63.0,11.0,3.0,0.9070810338835564,BWh,16,-1.0,54.0
11111,11111,225,260,26.0,63.0,11.0,3.0,0.5287081542518054,BWh,7,3.0,54.0
11112,11112,225,261,26.0,63.0,11.0,3.0,0.6408789196613043,BWh,7,3.0,54.0
11113,11113,225,262,26.0,63.0,11.0,3.0,0.8392462043183286,BWh,7,3.0,54.0
11114,11114,225,263,26.0,63.0,11.0,3.0,1.5259021896696936,BWh,7,3.0,54.0
11115,11115,225,264,26.0,63.0,11.0,3.0,1.9226367589837992,BWh,7,3.0,54.0
11116,11116,225,265,26.0,63.0,11.0,3.0,2.166781109330941,BWh,7,3.0,54.0
11117,11117,225,266,26.0,63.0,11.0,3.0,5.149919890135067,BWh,7,3.0,54.0
11118,11118,225,267,26.0,63.0,11.0,3.0,4.234378576333285,BWh,7,3.0,54.0
11119,11119,225,268,26.0,63.0,11.0,3.0,4.188601510643196,BSh,7,3.0,54.0
11120,11120,225,269,26.0,63.0,11.0,3.0,2.9068436713207007,BSh,7,3.0,54.0
11121,11121,225,270,26.0,63.0,11.0,3.0,1.815823605706896,BSh,7,3.0,54.0
11122,11122,225,271,26.0,63.0,11.0,3.0,1.295643549248546,BSh,13,-1.0,54.0
11123,11123,225,272,26.0,63.0,11.0,3.0,1.6327153429465395,BSh,7,3.0,54.0
11124,11124,225,273,26.0,63.0,11.0,3.0,2.9526207370107898,BSh,7,3.0,54.0
11125,11125,225,274,37.0,46.0,17.0,4.0,3.0212863355459376,BSk,7,3.0,54.0
11126,11126,225,275,37.0,46.0,17.0,4.0,3.1128404669261163,BSk,7,3.0,54.0
11127,11127,225,276,37.0,46.0,17.0,4.0,3.265430685893051,Csa,7,3.0,54.0
11128,11128,225,277,37.0,46.0,17.0,4.0,3.6011291676204,Csa,7,3.0,54.0
11129,11129,225,278,37.0,46.0,17.0,4.0,3.2578011749447167,Csa,1,4.0,71.1
11130,11130,225,279,37.0,46.0,17.0,4.0,3.295948729686472,Csa,6,3.0,54.0
11131,11131,225,280,37.0,46.0,17.0,4.0,2.9297322041657594,Csb,1,4.0,71.1
